corp_conv_idx,conv_id,speaker,corp_vol_idx,conv_vol_idx,vol_text,corp_utt_idx,conv_utt_idx,utt_text,T1,T2
1,high_099,counsellor,24,5,oh alright being away for college cool yeah so kind of keeping your options open,47,12,oh alright,O,FI
1,high_099,counsellor,24,5,oh alright being away for college cool yeah so kind of keeping your options open,48,13,being away for college cool,SRL,SR
1,high_099,counsellor,24,5,oh alright being away for college cool yeah so kind of keeping your options open,49,14,yeah so kind of keeping your options open,SRL,SR
1,high_099,client,25,6,yeah definitely,50,15,yeah definitely,N,N
1,high_099,counsellor,26,7,great and you have an idea about what you might want to study or,51,16,great and you have an idea about what you might want to study or,Q,CQ
1,high_099,client,27,8,yeah maybe I'm pre-law,52,17,yeah maybe I'm pre-law,N,N
1,high_099,counsellor,28,9,oh wow okay that's exciting yeah all right cool um what do you like to do for fun,53,18,oh wow okay that's exciting,O,FI
1,high_099,counsellor,28,9,oh wow okay that's exciting yeah all right cool um what do you like to do for fun,54,19,yeah all right cool,O,FI
1,high_099,counsellor,28,9,oh wow okay that's exciting yeah all right cool um what do you like to do for fun,55,20,um what do you like to do for fun,Q,OQ
1,high_099,client,29,10,well um on the weekends I like to hang out with my friends maybe go like a party or go to the mall to shop or if there's like a school related event we'll go to like a football game or something like that yeah I like to have a good time,56,21,well um on the weekends I like to hang out with my friends,N,N
1,high_099,client,29,10,well um on the weekends I like to hang out with my friends maybe go like a party or go to the mall to shop or if there's like a school related event we'll go to like a football game or something like that yeah I like to have a good time,57,22,maybe go like a party or go to the mall to shop,N,N
1,high_099,client,29,10,well um on the weekends I like to hang out with my friends maybe go like a party or go to the mall to shop or if there's like a school related event we'll go to like a football game or something like that yeah I like to have a good time,58,23,or if there's like a school related event we'll go to like a football game or something like that,N,N
1,high_099,client,29,10,well um on the weekends I like to hang out with my friends maybe go like a party or go to the mall to shop or if there's like a school related event we'll go to like a football game or something like that yeah I like to have a good time,59,24,yeah I like to have a good time,N,N
1,high_099,counsellor,30,11,yeah and you have a lot of friends or a few close people or,60,25,yeah and you have a lot of friends,Q,CQ
1,high_099,counsellor,30,11,yeah and you have a lot of friends or a few close people or,61,26,or a few close people,Q,CQ
1,high_099,counsellor,30,11,yeah and you have a lot of friends or a few close people or,62,27,or,Q,CQ
1,high_099,client,31,12,um I would say like a moderate amount I'm not really really popular or like I have no friends um I'm like normal alright that's a good way to be right yeah alright,63,28,um I would say like a moderate amount,N,N
1,high_099,client,31,12,um I would say like a moderate amount I'm not really really popular or like I have no friends um I'm like normal alright that's a good way to be right yeah alright,64,29,I'm not really really popular or like I have no friends,N,N
1,high_099,client,31,12,um I would say like a moderate amount I'm not really really popular or like I have no friends um I'm like normal alright that's a good way to be right yeah alright,65,30,um I'm like normal,N,N
1,high_099,client,31,12,um I would say like a moderate amount I'm not really really popular or like I have no friends um I'm like normal alright that's a good way to be right yeah alright,66,31,alright that's a good way to be right,N,N
1,high_099,client,31,12,um I would say like a moderate amount I'm not really really popular or like I have no friends um I'm like normal alright that's a good way to be right yeah alright,67,32,yeah,N,N
1,high_099,client,31,12,um I would say like a moderate amount I'm not really really popular or like I have no friends um I'm like normal alright that's a good way to be right yeah alright,68,33,alright,N,N
1,high_099,counsellor,32,13,so um it sounds like in general your things are going pretty well for you how are your grades right now,69,34,so um it sounds like in general your things are going pretty well for you,SRL,SR
1,high_099,counsellor,32,13,so um it sounds like in general your things are going pretty well for you how are your grades right now,70,35,how are your grades right now,Q,OQ
1,high_099,client,33,14,um they're pretty good a zombie's so I'm doing okay okay,71,36,um they're pretty good a zombie's so,N,N
1,high_099,client,33,14,um they're pretty good a zombie's so I'm doing okay okay,72,37,I'm doing okay okay,N,N
1,high_099,counsellor,34,15,"well one thing I want to ask about is you know different people have sort of different values or things that are important to them they might you know be really close with family or really have you know their friends as being something particularly important I'm going to show you just a few things on this sheet and if you can look more so there's things like belonging, community, cultural identity, family, friendship, modesty, religion, respect, self-determination, and spirituality which of those do you think is sort of important to you",73,38,well one thing I want to ask about is you know different people have sort of different values or things that are important to them,IMC,GI
1,high_099,counsellor,34,15,"well one thing I want to ask about is you know different people have sort of different values or things that are important to them they might you know be really close with family or really have you know their friends as being something particularly important I'm going to show you just a few things on this sheet and if you can look more so there's things like belonging, community, cultural identity, family, friendship, modesty, religion, respect, self-determination, and spirituality which of those do you think is sort of important to you",74,39,they might you know be really close with family or really have you know their friends as being something particularly important,IMC,GI
1,high_099,counsellor,34,15,"well one thing I want to ask about is you know different people have sort of different values or things that are important to them they might you know be really close with family or really have you know their friends as being something particularly important I'm going to show you just a few things on this sheet and if you can look more so there's things like belonging, community, cultural identity, family, friendship, modesty, religion, respect, self-determination, and spirituality which of those do you think is sort of important to you",75,40,I'm going to show you just a few things on this sheet and if you can look more,O,ST
1,high_099,counsellor,34,15,"well one thing I want to ask about is you know different people have sort of different values or things that are important to them they might you know be really close with family or really have you know their friends as being something particularly important I'm going to show you just a few things on this sheet and if you can look more so there's things like belonging, community, cultural identity, family, friendship, modesty, religion, respect, self-determination, and spirituality which of those do you think is sort of important to you",76,41,"so there's things like belonging, community, cultural identity, family, friendship, modesty, religion, respect, self-determination, and spirituality",IMC,GI
1,high_099,counsellor,34,15,"well one thing I want to ask about is you know different people have sort of different values or things that are important to them they might you know be really close with family or really have you know their friends as being something particularly important I'm going to show you just a few things on this sheet and if you can look more so there's things like belonging, community, cultural identity, family, friendship, modesty, religion, respect, self-determination, and spirituality which of those do you think is sort of important to you",77,42,which of those do you think is sort of important to you,Q,CQ
1,high_099,client,35,16,um family definitely a friendship and belonging,78,43,um family definitely,N,N
1,high_099,client,35,16,um family definitely a friendship and belonging,79,44,a friendship and belonging,N,N
1,high_099,counsellor,36,17,okay what's important to you about your family,80,45,okay what's important to you about your family,Q,OQ
1,high_099,client,37,18,well I I love them so I want them to think well of me and I want them to be accepting and love me okay,81,46,well I I love them so I want them to think well of me,N,N
1,high_099,client,37,18,well I I love them so I want them to think well of me and I want them to be accepting and love me okay,82,47,and I want them to be accepting and love me okay,N,N
1,high_099,counsellor,38,19,and you have brothers or sisters,83,48,and you have brothers or sisters,Q,CQ
1,high_099,client,39,20,yeah I have one sister,84,49,yeah I have one sister,N,N
1,high_099,counsellor,40,21,okay great and how about friendship,85,50,okay great,O,FI
1,high_099,counsellor,40,21,okay great and how about friendship,86,51,and how about friendship,Q,OQ
1,high_099,client,41,22,friendship I've grown close to many people that I care about so I would like them to be accepting of me as well,87,52,friendship,N,N
1,high_099,client,41,22,friendship I've grown close to many people that I care about so I would like them to be accepting of me as well,88,53,I've grown close to many people that I care about so I would like them to be accepting of me as well,N,N
1,high_099,counsellor,42,23,great so being a good friend and having people who are good friends too is important and then what about belonging you mentioned that one -,89,54,great so being a good friend and having people who are good friends too is important,SRL,SR
1,high_099,counsellor,42,23,great so being a good friend and having people who are good friends too is important and then what about belonging you mentioned that one -,90,55,and then what about belonging you mentioned that one -,Q,OQ
1,high_099,client,43,24,yeah just a sense of like fitting in and like being accepted you know yeah not,91,56,yeah just a sense of like fitting in and like being accepted you know,N,N
1,high_099,client,43,24,yeah just a sense of like fitting in and like being accepted you know yeah not,92,57,yeah not,N,N
1,high_099,counsellor,44,25,wanting to be part of a group yeah kind of okay great all right well one of the things I want to talk about is you know you mentioned that you like to go out with friends and party and that sort of a thing and I'm curious when you're at the parties do you ever have any alcohol,93,58,wanting to be part of a group yeah kind of okay great all right,SRL,SR
1,high_099,counsellor,44,25,wanting to be part of a group yeah kind of okay great all right well one of the things I want to talk about is you know you mentioned that you like to go out with friends and party and that sort of a thing and I'm curious when you're at the parties do you ever have any alcohol,94,59,well one of the things I want to talk about is you know you mentioned that you like to go out with friends and party and that sort of a thing,SRL,SR
1,high_099,counsellor,44,25,wanting to be part of a group yeah kind of okay great all right well one of the things I want to talk about is you know you mentioned that you like to go out with friends and party and that sort of a thing and I'm curious when you're at the parties do you ever have any alcohol,95,60,and I'm curious when you're at the parties do you ever have any alcohol,Q,CQ
1,high_099,client,45,26,um not much maybe like one or two drinks at the most,96,61,um not much,N,N
1,high_099,client,45,26,um not much maybe like one or two drinks at the most,97,62,maybe like one or two drinks at the most,N,N
1,high_099,counsellor,46,27,okay can you tell me a little bit about how alcohol fits into your overall social scene,98,63,okay can you tell me a little bit about how alcohol fits into your overall social scene,Q,OQ
1,high_099,client,47,28,um I pretty much just have a drink just just have it like so it looks like I'm drinking even though I'm not so maybe people bug me about drinking or something,99,64,um I pretty much just have a drink just just have it like so it looks like I'm drinking even though I'm not,N,N
1,high_099,client,47,28,um I pretty much just have a drink just just have it like so it looks like I'm drinking even though I'm not so maybe people bug me about drinking or something,100,65,so maybe people bug me about drinking or something,N,N
1,high_099,counsellor,48,29,okay you're kind of getting pressure from other people who are drinking and it feels easier for you to hold a drink,101,66,okay you're kind of getting pressure from other people who are drinking,SRL,SR
1,high_099,counsellor,48,29,okay you're kind of getting pressure from other people who are drinking and it feels easier for you to hold a drink,102,67,and it feels easier for you to hold a drink,SRL,SR
1,high_099,client,49,30,have one they're pretending you have it okay,103,68,have one they're pretending you have it okay,N,N
1,high_099,counsellor,50,31,and do you think that this is most weekends or occasionally how often do you think that you are one or two weekends of the most very much so one or two weekends a month you're in a situation where there is alcohol yeah okay and what sort of situations are you in,104,69,and do you think that this is most weekends or occasionally,Q,CQ
1,high_099,counsellor,50,31,and do you think that this is most weekends or occasionally how often do you think that you are one or two weekends of the most very much so one or two weekends a month you're in a situation where there is alcohol yeah okay and what sort of situations are you in,105,70,how often do you think that you are one or two weekends of the most very much so,Q,CQ
1,high_099,counsellor,50,31,and do you think that this is most weekends or occasionally how often do you think that you are one or two weekends of the most very much so one or two weekends a month you're in a situation where there is alcohol yeah okay and what sort of situations are you in,106,71,one or two weekends a month you're in a situation where there is alcohol,Q,CQ
1,high_099,counsellor,50,31,and do you think that this is most weekends or occasionally how often do you think that you are one or two weekends of the most very much so one or two weekends a month you're in a situation where there is alcohol yeah okay and what sort of situations are you in,107,72,yeah okay,O,FI
1,high_099,counsellor,50,31,and do you think that this is most weekends or occasionally how often do you think that you are one or two weekends of the most very much so one or two weekends a month you're in a situation where there is alcohol yeah okay and what sort of situations are you in,108,73,and what sort of situations are you in,Q,OQ
1,high_099,client,51,32,well just I guess at a party or something someone's house,109,74,well just I guess at a party or something someone's house,N,N
1,high_099,counsellor,52,33,uh-huh,110,75,uh-huh,O,FA
1,high_099,client,53,34,or even if it's not a party like a small social gathering maybe there'll be like a few beers around,111,76,or even if it's not a party like a small social gathering,N,N
1,high_099,client,53,34,or even if it's not a party like a small social gathering maybe there'll be like a few beers around,112,77,maybe there'll be like a few beers around,N,N
1,high_099,counsellor,54,35,mm-hmm,113,78,mm-hmm,O,FA
1,high_099,client,55,36,so mainly just kind of hanging out with friends pretty much,114,79,so mainly just kind of hanging out with friends pretty much,N,N
1,high_099,counsellor,56,37,yeah are you ever places where there are parents around or are mostly just just with the kids,115,80,yeah are you ever places where there are parents around,Q,CQ
1,high_099,counsellor,56,37,yeah are you ever places where there are parents around or are mostly just just with the kids,116,81,or are mostly just just with the kids,Q,CQ
1,high_099,client,57,38,mostly just with us but sometimes I'll go to like a close friend's house and like I'm close to her family as well so well I'll just hang out,117,82,mostly just with us but sometimes I'll go to like a close friend's house,N,N
1,high_099,client,57,38,mostly just with us but sometimes I'll go to like a close friend's house and like I'm close to her family as well so well I'll just hang out,118,83,and like I'm close to her family as well,N,N
1,high_099,client,57,38,mostly just with us but sometimes I'll go to like a close friend's house and like I'm close to her family as well so well I'll just hang out,119,84,so well I'll just hang out,N,N
1,high_099,counsellor,58,39,and what about driving,120,85,and what about driving,Q,CQ
1,high_099,client,59,40,um like drunk driving,121,86,um,N,N
1,high_099,client,59,40,um like drunk driving,122,87,like drunk driving,N,N
1,high_099,counsellor,60,41,yeah do you ever go anywhere in a car after you've had any alcohol,123,88,yeah do you ever go anywhere in a car after you've had any alcohol,Q,CQ
1,high_099,client,61,42,definitely no I've never drunk driven and I've never been in a car with a drunk driver,124,89,definitely no,N,N
1,high_099,client,61,42,definitely no I've never drunk driven and I've never been in a car with a drunk driver,125,90,I've never drunk driven,N,N
1,high_099,client,61,42,definitely no I've never drunk driven and I've never been in a car with a drunk driver,126,91,and I've never been in a car with a drunk driver,N,N
1,high_099,counsellor,62,43,so that's something that you've sort of made a decision about,127,92,so that's something that you've sort of made a decision about,CRL,CR
1,high_099,client,63,44,that sounds I know that's extremely dangerous,128,93,that sounds I know that's extremely dangerous,N,N
1,high_099,counsellor,64,45,okay what do you know about how that's dangerous,129,94,okay what do you know about how that's dangerous,Q,OQ
1,high_099,client,65,46,um well alcohol definitely impairs your judgment so I mean driving under the influence of alcohol can lead to like crashes and accidents and things like that so I'd rather not be in that situation so,130,95,um well alcohol definitely impairs your judgment,C,R+
1,high_099,client,65,46,um well alcohol definitely impairs your judgment so I mean driving under the influence of alcohol can lead to like crashes and accidents and things like that so I'd rather not be in that situation so,131,96,so I mean driving under the influence of alcohol can lead to like crashes and accidents and things like that,C,R+
1,high_099,client,65,46,um well alcohol definitely impairs your judgment so I mean driving under the influence of alcohol can lead to like crashes and accidents and things like that so I'd rather not be in that situation so,132,97,so I'd rather not be in that situation,C,R+
1,high_099,client,65,46,um well alcohol definitely impairs your judgment so I mean driving under the influence of alcohol can lead to like crashes and accidents and things like that so I'd rather not be in that situation so,133,98,so,N,N
1,high_099,counsellor,66,47,you're really trying to be safe and and make sure that you're not putting yourself in those situations that's great you know it's it's tough to do sometimes and I really commend you for being able to to stick with that yeah so you mentioned you pretty much will like hold a drink or maybe have a drink or two what do you thinks the most alcohol you've ever had in in one day,134,99,you're really trying to be safe and and make sure that you're not putting yourself in those situations,SRL,SR
1,high_099,counsellor,66,47,you're really trying to be safe and and make sure that you're not putting yourself in those situations that's great you know it's it's tough to do sometimes and I really commend you for being able to to stick with that yeah so you mentioned you pretty much will like hold a drink or maybe have a drink or two what do you thinks the most alcohol you've ever had in in one day,135,100,that's great you know,CRL,AF
1,high_099,counsellor,66,47,you're really trying to be safe and and make sure that you're not putting yourself in those situations that's great you know it's it's tough to do sometimes and I really commend you for being able to to stick with that yeah so you mentioned you pretty much will like hold a drink or maybe have a drink or two what do you thinks the most alcohol you've ever had in in one day,136,101,it's it's tough to do sometimes,CRL,AF
1,high_099,counsellor,66,47,you're really trying to be safe and and make sure that you're not putting yourself in those situations that's great you know it's it's tough to do sometimes and I really commend you for being able to to stick with that yeah so you mentioned you pretty much will like hold a drink or maybe have a drink or two what do you thinks the most alcohol you've ever had in in one day,137,102,and I really commend you for being able to to stick with that,CRL,AF
1,high_099,counsellor,66,47,you're really trying to be safe and and make sure that you're not putting yourself in those situations that's great you know it's it's tough to do sometimes and I really commend you for being able to to stick with that yeah so you mentioned you pretty much will like hold a drink or maybe have a drink or two what do you thinks the most alcohol you've ever had in in one day,138,103,yeah so you mentioned you pretty much will like hold a drink or maybe have a drink or two,SRL,SR
1,high_099,counsellor,66,47,you're really trying to be safe and and make sure that you're not putting yourself in those situations that's great you know it's it's tough to do sometimes and I really commend you for being able to to stick with that yeah so you mentioned you pretty much will like hold a drink or maybe have a drink or two what do you thinks the most alcohol you've ever had in in one day,139,104,what do you thinks the most alcohol you've ever had in in one day,Q,CQ
1,high_099,client,67,48,no more than two drinks okay so the the absolute most yeah those two okay and,140,105,no more than two drinks,N,N
1,high_099,client,67,48,no more than two drinks okay so the the absolute most yeah those two okay and,141,106,okay so the the absolute most,N,N
1,high_099,client,67,48,no more than two drinks okay so the the absolute most yeah those two okay and,142,107,yeah those two,N,N
1,high_099,client,67,48,no more than two drinks okay so the the absolute most yeah those two okay and,143,108,okay and,N,N
1,high_099,counsellor,68,49,what kinds of things do you like about alcohol um,144,109,what kinds of things do you like about alcohol,Q,OQ
1,high_099,counsellor,68,49,what kinds of things do you like about alcohol um,145,110,um,O,FI
1,high_099,client,69,50,I've never really been drunk so I can't really say that I like that being or not but it's just I I mean you're just in a good mood,146,111,I've never really been drunk so I can't really say that I like that being or not,N,N
1,high_099,client,69,50,I've never really been drunk so I can't really say that I like that being or not but it's just I I mean you're just in a good mood,147,112,but it's just I I mean you're just in a good mood,S,R-
1,high_099,counsellor,70,51,mm-hmm so it just kind of makes you feel relaxed yeah okay relax okay anything else,148,113,mm-hmm,O,FA
1,high_099,counsellor,70,51,mm-hmm so it just kind of makes you feel relaxed yeah okay relax okay anything else,149,114,so it just kind of makes you feel relaxed,CRL,CR
1,high_099,counsellor,70,51,mm-hmm so it just kind of makes you feel relaxed yeah okay relax okay anything else,150,115,yeah,O,FI
1,high_099,counsellor,70,51,mm-hmm so it just kind of makes you feel relaxed yeah okay relax okay anything else,151,116,okay,O,FI
1,high_099,counsellor,70,51,mm-hmm so it just kind of makes you feel relaxed yeah okay relax okay anything else,152,117,relax,O,FI
1,high_099,counsellor,70,51,mm-hmm so it just kind of makes you feel relaxed yeah okay relax okay anything else,153,118,okay,O,FI
1,high_099,counsellor,70,51,mm-hmm so it just kind of makes you feel relaxed yeah okay relax okay anything else,154,119,anything else,Q,CQ
1,high_099,client,71,52,um no not really like I said I don't drink that much so I I wouldn't be able to tell you,155,120,um no not really,N,N
1,high_099,client,71,52,um no not really like I said I don't drink that much so I I wouldn't be able to tell you,156,121,like I said I don't drink that much,N,N
1,high_099,client,71,52,um no not really like I said I don't drink that much so I I wouldn't be able to tell you,157,122,so I I wouldn't be able to tell you,N,N
1,high_099,counsellor,72,53,okay and any not-so-good things about alcohol,158,123,okay,O,FA
1,high_099,counsellor,72,53,okay and any not-so-good things about alcohol,159,124,and,O,FA
1,high_099,counsellor,72,53,okay and any not-so-good things about alcohol,160,125,any not-so-good things about alcohol,Q,OQ
1,high_099,client,73,54,um definitely yeah I mean what about parties is stuff and it's getting a little late some people that drink like drank too much they start throwing up or they get hurt or they're really loud and obnoxious and that's not fun for anybody,161,126,um definitely yeah I mean what about parties is stuff and it's getting a little late,C,R+
1,high_099,client,73,54,um definitely yeah I mean what about parties is stuff and it's getting a little late some people that drink like drank too much they start throwing up or they get hurt or they're really loud and obnoxious and that's not fun for anybody,162,127,some people that drink like drank too much they start throwing up or they get hurt or they're really loud and obnoxious,C,R+
1,high_099,client,73,54,um definitely yeah I mean what about parties is stuff and it's getting a little late some people that drink like drank too much they start throwing up or they get hurt or they're really loud and obnoxious and that's not fun for anybody,163,128,and that's not fun for anybody,C,R+
1,high_099,counsellor,74,55,so you've seen a lot of other kids you had some consequences and decided that's not for you,164,129,so you've seen a lot of other kids,SRL,SR
1,high_099,counsellor,74,55,so you've seen a lot of other kids you had some consequences and decided that's not for you,165,130,you had some consequences,CRL,CR
1,high_099,counsellor,74,55,so you've seen a lot of other kids you had some consequences and decided that's not for you,166,131,and decided that's not for you,CRL,CR
1,high_099,client,75,56,yeah,167,132,yeah,N,N
1,high_099,counsellor,76,57,got it I can understand that any other things that you can think of,168,133,got it,O,FI
1,high_099,counsellor,76,57,got it I can understand that any other things that you can think of,169,134,I can understand that,O,FI
1,high_099,counsellor,76,57,got it I can understand that any other things that you can think of,170,135,any other things that you can think of,Q,OQ
1,high_099,client,77,58,um no I mean I've never you know been friends with anybody that's got into like a serious accident and stuff it's just very like obnoxious thing,171,136,um no I mean I've never you know been friends with anybody that's got into like a serious accident and stuff,N,N
1,high_099,client,77,58,um no I mean I've never you know been friends with anybody that's got into like a serious accident and stuff it's just very like obnoxious thing,172,137,it's just very like obnoxious thing,N,N
1,high_099,counsellor,78,59,okay well so you know as someone who's not yet it is underage drinking is something that's not legal and it is something that is considered pretty risky so I'm wondering what you think about that just in terms of how it fits into your life,173,138,okay well so you know as someone who's not yet it is underage drinking is something that's not legal,IMI,WA
1,high_099,counsellor,78,59,okay well so you know as someone who's not yet it is underage drinking is something that's not legal and it is something that is considered pretty risky so I'm wondering what you think about that just in terms of how it fits into your life,174,139,and it is something that is considered pretty risky,IMI,RCW
1,high_099,counsellor,78,59,okay well so you know as someone who's not yet it is underage drinking is something that's not legal and it is something that is considered pretty risky so I'm wondering what you think about that just in terms of how it fits into your life,175,140,so I'm wondering what you think about that just in terms of how it fits into your life,Q,OQ
1,high_099,client,79,60,um I know it's definitely risky but I mean I guess we still do it,176,141,um I know it's definitely risky,N,N
1,high_099,client,79,60,um I know it's definitely risky but I mean I guess we still do it,177,142,but I mean I guess we still do it,S,O-
1,high_099,counsellor,80,61,uh-huh so it's kind of something that here it's just there it's just there okay and I'm curious you mentioned you know your friends are important to you and your family's important to you sort of fitting in as important to you and how does alcohol play a role with that,178,143,uh-huh,O,FA
1,high_099,counsellor,80,61,uh-huh so it's kind of something that here it's just there it's just there okay and I'm curious you mentioned you know your friends are important to you and your family's important to you sort of fitting in as important to you and how does alcohol play a role with that,179,144,so it's kind of something that here it's just there it's just there okay,SRL,SR
1,high_099,counsellor,80,61,uh-huh so it's kind of something that here it's just there it's just there okay and I'm curious you mentioned you know your friends are important to you and your family's important to you sort of fitting in as important to you and how does alcohol play a role with that,180,145,and I'm curious you mentioned you know your friends are important to you and your family's important to you,SRL,SR
1,high_099,counsellor,80,61,uh-huh so it's kind of something that here it's just there it's just there okay and I'm curious you mentioned you know your friends are important to you and your family's important to you sort of fitting in as important to you and how does alcohol play a role with that,181,146,sort of fitting in as important to you,SRL,SR
1,high_099,counsellor,80,61,uh-huh so it's kind of something that here it's just there it's just there okay and I'm curious you mentioned you know your friends are important to you and your family's important to you sort of fitting in as important to you and how does alcohol play a role with that,182,147,and how does alcohol play a role with that,Q,OQ
1,high_099,client,81,62,um well definitely not in my family life because my parents don't really condone okay alcohol use but friendships I mean when I'm hanging out with my friends that were at a party or something there's usually alcohol involved okay,183,148,um well definitely not in my family life because my parents don't really condone okay alcohol use,N,N
